"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.brown","p.MM.brown","MM.red","p.MM.red","MM.salmon","p.MM.salmon","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.tan","p.MM.tan","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.cyan","p.MM.cyan","MM.lightcyan","p.MM.lightcyan","MM.grey","p.MM.grey","MM.lightgreen","p.MM.lightgreen","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.grey60","p.MM.grey60","MM.green","p.MM.green"
"MMT00058918","MMT00058918","Ilf2",67781,"black",-0.391527975074114,2.89764751078997e-06,-0.381396304173047,5.44957277394191e-06,-0.476870764618204,5.71256655947439e-09,-0.435159646164412,1.48514978680026e-07,-0.1761652754555,0.0417395078922958,0.900035608887453,1.87879981989375e-49,0.445878604519906,6.69926514881291e-08,-0.433297172491188,1.70074958873286e-07,-0.433789761065319,1.64098504634622e-07,0.301194985745468,0.00040560849653617,-0.171637032634776,0.0473708694731994,0.542663948923168,1.25978521709578e-11,-0.131079792396862,0.131129109234621,0.0626056225342521,0.472369986229886,-0.208276484651876,0.0157381311462879,-0.0886550914910707,0.308369326623788,-0.157363812443539,0.0693883300555423,0.00912297611749068,0.916678240470832,0.0222021868536821,0.799006986586519,0.613709004626502,3.16581200990856e-15
"MMT00000207","MMT00000207","Akap13",233400,"black",-0.390850266573663,3.02468537665728e-06,-0.409950120661385,8.6977595876704e-07,-0.477943697245414,5.22251581958629e-09,-0.422769482351955,3.60456993502342e-07,-0.185135572969384,0.032228063424672,0.888249858050275,1.97574439589493e-46,0.424460612882674,3.20032816295055e-07,-0.377586920674905,6.87325991375661e-06,-0.410613573290432,8.31755071782659e-07,0.240136795496617,0.00519387179331992,-0.183549201311827,0.0337622096462731,0.45033358451254,4.77303886424802e-08,0.0230643285902651,0.79137711805476,0.1207342911878,0.164651700156771,-0.176755918011868,0.0410480800200917,-0.109715642758248,0.206961295916133,-0.124870349814294,0.150556189217352,-0.0248747199463579,0.775420294231838,-0.0901298876208445,0.30035898629547,0.53133406426413,3.97353229078528e-11
"MMT00015015","MMT00015015","Btf3",218490,"black",-0.390821955089851,3.03010568821977e-06,-0.399862020721687,1.6962297359848e-06,-0.473449324277285,7.58841014877998e-09,-0.436665411865481,1.33019979800183e-07,-0.174913781133805,0.0432367946221701,0.927190765979244,3.82358861361446e-58,0.433290996142329,1.70151199221991e-07,-0.430753584779118,2.04395880026178e-07,-0.463022742782613,1.76897296742343e-08,0.292199458227444,0.000612888076716932,-0.173147544584219,0.0454260416982259,0.519039116793041,1.31836556499839e-10,-0.0833522470563915,0.338314975412882,0.0774894000088908,0.373498093003242,-0.176591203007235,0.0412399299287341,-0.111242328006629,0.200673716982808,-0.129987592996516,0.134399256352614,-0.0237297417351512,0.785501717890157,0.0450772933016613,0.605029265793149,0.59801480268298,2.35870737668455e-14
"MMT00064177","MMT00064177",NA,207923,"black",-0.390239908878652,3.14360250934939e-06,-0.350683622544852,3.26519360487826e-05,-0.440324866344306,1.01542916697444e-07,-0.440337991093243,1.0144404688481e-07,-0.133182563801297,0.125005400991897,0.863270220527431,5.11391881587272e-41,0.379407786253901,6.15373165308737e-06,-0.412535960358589,7.3031853886895e-07,-0.450324814522648,4.77624812764994e-08,0.228988951262857,0.00778247593285839,-0.166612551076305,0.0543443339820832,0.462510134090661,1.84279655101713e-08,-0.114557061415373,0.187499067325396,0.0651845814278643,0.454283353431605,-0.114019802474907,0.189590455553127,-0.07382917204834,0.396557448938981,-0.145202475594144,0.0941351541794511,0.0486045060093547,0.577051674120967,0.0352285638786989,0.686135466023741,0.507219139460042,3.995067454334e-10
"MMT00015256","MMT00015256","Bing4",57315,"black",-0.387804257171926,3.66375617698096e-06,-0.428351226239932,2.42814071738693e-07,-0.499020769033529,8.41074000821005e-10,-0.473037525688615,7.85058970526801e-09,-0.171776760909568,0.0471881074380329,0.899524027664566,2.58654010569391e-49,0.454577144917889,3.44017435931175e-08,-0.395130903925831,2.30293414625063e-06,-0.417442519382469,5.22091284388183e-07,0.291550677063957,0.000631084696361304,-0.181148761939302,0.0362007564168272,0.508335790580543,3.60430578406989e-10,-0.10522565120316,0.226269033830642,0.147482334965421,0.0890276421885532,-0.220421917350645,0.0104907009777372,-0.114344807160249,0.1883232885752,-0.140492291697978,0.105421327198546,-0.0520683381800506,0.550178080439392,0.102113445748139,0.240376547905261,0.592665261986626,4.56287580488958e-14
"MMT00021912","MMT00021912","Xmr",22526,"black",-0.387147324715641,3.81743525516876e-06,-0.38975102503173,3.24203619926096e-06,-0.467397929430411,1.24444744113168e-08,-0.461973405787078,1.92325922446181e-08,-0.173382811485529,0.045129201649289,0.925778846464141,1.29609201902037e-57,0.394282148194377,2.43158309267389e-06,-0.408383393707816,9.66235381952254e-07,-0.468812163899312,1.1095414072791e-08,0.260488879340348,0.00236747102035087,-0.182404056461353,0.0349076376175192,0.48708101233117,2.40252259399955e-09,-0.0678741380835805,0.435839403750195,0.11027036096834,0.204660567313707,-0.134988210651634,0.119924961029377,-0.116066268986171,0.181714340279452,-0.110503967671071,0.203697191703586,-0.00920782707995163,0.915906111608656,0.0417997775522125,0.631551740282354,0.555249846604749,3.3405829540408e-12
"MMT00069039","MMT00069039","1700001K19Rik",66323,"black",-0.38364793801101,4.74443856907968e-06,-0.37868930830027,6.42868889201164e-06,-0.479267720890529,4.67334104379597e-09,-0.456884573816492,2.87366217809962e-08,-0.157728360457765,0.0687372284437945,0.887150093129484,3.63300129970587e-46,0.445000648757508,7.15805933598919e-08,-0.423158401702756,3.50750311586706e-07,-0.437057365351327,1.29247614106105e-07,0.23234812847218,0.00690272557914414,-0.201852437692285,0.0193432827185084,0.505675651494075,4.60308375531222e-10,-0.161446022067477,0.0623766399896368,0.0924556581359921,0.288007639483088,-0.184136528803689,0.0331871703405411,-0.101774712434129,0.241948188971611,-0.164766374860616,0.0571105631768621,-0.0114315992390122,0.895700274093147,0.0168653379822704,0.846633882186248,0.555316117717708,3.3168262832901e-12
"MMT00029709","MMT00029709","C230069K22Rik",243538,"black",-0.382319150816109,5.14934671742992e-06,-0.395769934340419,2.21036554914479e-06,-0.469328286725316,1.0638996608751e-08,-0.422506251120164,3.67171594747245e-07,-0.180695331965644,0.0366776667675291,0.91859200834362,4.54975881787869e-55,0.390876033588318,3.01976020394498e-06,-0.385329792486721,4.27507621011683e-06,-0.450396066421694,4.75023414919916e-08,0.292449616099566,0.000606001668566395,-0.15067903373384,0.0822405759937764,0.474806249142843,6.78273449066872e-09,-0.0786060492582282,0.366629963832758,0.0963646110253914,0.268021527997233,-0.153775630134114,0.0760678203607245,-0.116415178211402,0.180395818495683,-0.0938029962929108,0.281009535975641,-0.0295905001614323,0.734308373939415,0.0492052377322855,0.572347446132664,0.565747028482806,1.05736064083997e-12
"MMT00023728","MMT00023728","F5",14067,"black",-0.381621063309338,5.37496322492154e-06,-0.518656178387509,1.36749580987472e-10,-0.426212105460261,2.82744438039571e-07,-0.483295505818156,3.32332634837615e-09,-0.238491029786339,0.00551967864187064,0.528604934713664,5.20718924326882e-11,0.244714746706151,0.00437605008191473,-0.182697586664434,0.0346109527147463,-0.187502396130808,0.0300491616708671,0.267729959891638,0.00176322877691055,-0.234023179733139,0.00649797073604766,0.292697909671473,0.000599237036638537,-0.0567287006299634,0.515011273437741,0.0456114324668026,0.600754065875206,-0.153175957252792,0.0772331050357387,0.126350781836074,0.145738402952852,0.163517395681158,0.0590468531175524,-0.0896743078835371,0.302818691420503,0.121008214115315,0.163688831915865,0.465900697502283,1.40439265393318e-08
"MMT00052549","MMT00052549",NA,NA,"black",-0.380483659371953,5.76271756494647e-06,-0.371848331242762,9.69704432683822e-06,-0.432370339590376,1.81888456680791e-07,-0.428858248611049,2.34171975208551e-07,-0.190113739977089,0.0277916528628955,0.924609584186133,3.49786849820418e-57,0.296268368458543,0.00050934082414289,-0.32673641702234,0.000116624442309126,-0.446719945553392,6.28612001844652e-08,0.275698684565133,0.00126294951741473,-0.127881289818009,0.140881262912401,0.403074197655798,1.37451578005921e-06,-0.000762868097045819,0.993020111507452,0.19413225176375,0.0246005996263137,-0.0708734354324979,0.415784114352649,-0.132623298106919,0.126612160473872,-0.0359088925761357,0.680402410923044,-0.0981406677814348,0.259259613483346,0.0659985471008458,0.448656067568135,0.491426578333025,1.64735535716584e-09
